model,brand,onlineStore,memory,price,comparator,order_by,order,limit,where,where_text
0,1,1,0,0,0,0,0,0,20,"where onlineStore like """" AND brand like """""
1,0,0,0,0,0,0,0,0,10,"where model like """""
0,0,1,1,1,1,0,0,0,20,"where onlineStore like """" AND memory = """""
0,1,0,0,0,0,0,0,0,10,"where model like """""
0,0,0,1,0,0,1,1,0,18,"where memory = """" ORDERBY """" DESC LIMIT 1"
0,1,0,1,0,0,1,2,0,29,"where brand like """" AND memort = """" ORDERBY """" ASC LIMIT 1"
0,1,1,1,0,0,1,2,0,39,"where brand like """" AND memory = """" AND onlineStore like """" ORDERBY """" ASC LIMIT 1"
0,1,0,1,0,0,0,0,0,20,"where brand like """" AND memory = """""
0,1,1,1,0,0,0,0,0,30,"where brand like """" AND memory like """" AND onlineStore like """""
0,1,1,0,0,0,1,2,0,19,"where onlineStore like """" ORDERBY """" ASC LIMIT 1"
0,1,0,0,1,1,0,0,0,21,"where brand like """" AND price < """""
0,0,0,0,1,2,0,0,0,12,"where price BETWEEN """" AND """""
0,0,0,0,1,3,0,0,0,13,"where price > """""
1,0,0,0,0,0,0,0,0,10,"where model like """""
1,0,0,0,0,0,1,1,0,18,"where model like """" ORDERBY """" DESC LIMIT 1"
0,0,0,0,1,1,0,0,0,11,"where price < """""
1,0,1,0,0,0,0,0,0,20,where model like “” AND onlineStore like “”
0,0,0,0,1,2,0,0,0,12,where price BETWEEN “” AND “”
0,0,0,0,0,0,0,0,0,0,null
0,1,0,0,0,0,0,0,0,10,WHERE brand like “”
0,1,0,0,0,0,1,1,1,18,where brand like ”” ORDERBY “” DESC LIMIT 1
1,0,0,0,0,0,0,0,0,10,where model like “”
1,0,1,0,0,0,0,0,0,20,"where model like """" AND onlineStore like """""
0,0,1,0,0,0,0,0,0,10,"where onlineStore like """""
0,0,1,1,0,0,0,0,0,20,"here onlineStore like """" AND memory = """""
0,1,1,0,0,0,0,0,0,20,"where onlinStore like """" AND brand like '''"
0,1,0,1,0,0,0,0,0,20,"where brand like """" AND memory = """""
0,0,0,1,0,0,0,0,0,10,where memory=1.5
0,1,0,0,0,0,0,0,0,10,"where brand like """""
0,1,0,0,0,0,1,1,0,18,"where brand like """" ORDERBY """" DESC LIMIT 1"
0,1,0,0,0,0,1,2,0,19,"where brand like """" ORDERBY """" ASC LIMIT 1"
0,1,0,0,0,0,1,2,0,19,"where brand like """" ORDERBY """" ASC LIMIT 1"
0,1,0,0,0,0,0,0,0,10,"where brand like """""
1,1,0,0,0,0,1,0,0,10,"where brand like """""
1,1,0,0,1,1,0,0,0,22,"where brand like """" AND price BETWEEN """""
1,1,0,0,0,0,0,1,0,10,"where brand like """""
1,1,0,0,0,0,0,1,0,10,"where brand like """""
1,1,0,0,1,1,0,0,0,21,"where brand like """" AND price < """""
0,1,0,0,1,1,1,1,1,10,"where brand like """""
0,1,0,1,0,1,0,0,0,22,"where brand like """" AND memory BETWEEN """""
1,1,0,0,0,0,0,1,0,10,"where brand like """""
1,1,0,0,0,0,0,1,0,10,"where brand like """""
1,1,0,0,1,1,0,0,0,21,"where brand like """" AND price < """""
1,1,0,0,0,0,0,1,1,18,"where brand like """" ORDERBY """" DESC LIMIT 1"
0,1,0,1,0,0,0,0,0,20,"where brand like """" AND model like """""
0,1,0,0,0,0,0,0,0,10,"where brand like """""
1,0,0,0,0,0,0,0,0,10,"where model like """""
1,0,0,0,0,0,0,0,0,20,"where model like """" AND onlineStore like """""
1,0,0,0,0,0,0,0,0,10,"where model like """""
0,1,0,0,0,0,1,2,1,19,"where brand like """" ORDER BY """" ASC LIMIT 1"
0,1,0,0,0,0,1,1,1,18,"where brand like """" ORDER BY """" DES LIMIT 1"
0,0,1,0,0,0,0,0,0,10,"where onlineStore like """""
0,0,0,1,0,0,0,0,0,10,"where memory like """""
0,1,0,0,0,0,0,0,0,10,"where brand like """""
1,0,0,0,0,0,0,0,0,10,"where model like """""
0,0,0,1,0,0,1,2,1,19,"where memory like """" AND ORDER BY """" ASC LIMIT 1"
1,1,0,0,0,0,0,0,0,20,"where brand like """" AND model like """""
1,1,0,0,0,0,1,2,0,29,"where brand like """" AND price ORDER BY ASC LIMIT 1"
1,1,0,0,0,0,1,2,0,29,"where brand like """" AND price ORDER BY ASC LIMIT 1"
1,0,0,0,1,2,0,0,0,22,"where model like """" AND price BETWEEN """" AND """""
1,0,0,0,1,1,0,0,0,23,"where brand like """" AND price > """""
0,1,0,0,0,0,1,2,0,29,"where brand like """" AND price ORDER BY ASC LIMIT 1"
0,1,0,0,0,0,1,2,0,29,"where brand like """" AND price ORDER BY ASC LIMIT 1"
0,0,0,0,0,0,0,0,0,20,"where model like """" "
1,0,0,0,0,0,1,2,0,29,"where model like """" AND price ORDER BY ASC LIMIT 1"
1,0,0,0,0,0,1,2,0,29,"where model like """" AND price ORDER BY ASC LIMIT 1"
1,0,0,0,1,2,0,0,0,22,"where model like """" AND pric BETWEEN """" AND """""
1,0,0,0,1,1,0,0,0,23,"where brand like """" AND price > """""
0,1,0,0,0,0,1,2,0,29,"where brand like """" AND price ORDER BY ASC LIMIT 1"
0,1,0,0,0,0,1,2,0,29,"where brand like """" AND price ORDER BY ASC LIMIT 1"
0,0,0,0,0,0,0,0,0,10,"where model like """" "
0,0,0,1,0,0,0,0,0,10,"where memory = """""
0,0,1,0,0,0,0,0,0,10,"where onlineStore like """""
1,0,1,0,0,0,0,0,0,20,"where model like """" AND onlineStore like """""
0,0,0,0,1,3,0,0,0,13,"where price >= """""
0,0,0,0,1,2,0,0,0,12,"where price between """" AND """""
0,0,0,0,1,1,0,0,0,11,"where price <= """""
0,0,0,1,0,0,1,1,0,18,"where memory = """" ORDERBY """" DES LIMIT 1"
0,0,1,1,1,2,0,0,0,32,"where memory = """" AND price BETWEEN """" AND """" AND onlineStore like """""
0,0,0,1,1,2,0,0,0,22,"where memory = """" AND price BETWEEN """" AND """""
0,0,1,0,1,2,0,0,0,12,"where price BETWEEN """" AND """" AND onlineStore like """""
0,1,0,0,0,0,1,1,0,18,"where brand like """" ORDERBY """" DES LIMIT 1"
0,1,0,0,0,0,1,2,0,19,"where brand like """" ORDERBY """" AES LIMIT 1"
